                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 2.1547,                0.03951,                0.03784,                 1.4977,                 1.1651,                0.68487,                    0.6,                0.63629,                0.22382,                 0.7694,                 0.6623,                0.74633,                0.74445,                 2.1839,                0.03613,                0.00167,                 1.4767,                 1.2398,              0.0003962,              0.0003962,              0.0003962
                     84,                 2.0974,                0.03872,                0.03242,                 1.4687,                  1.171,                0.69013,                0.56692,                0.62952,                0.22307,                0.78229,                 0.6406,                0.73729,                0.73524,                 2.1705,                0.03728,                 0.0007,                   1.47,                 1.2385,              0.0003764,              0.0003764,              0.0003764
                     85,                 2.1385,                0.03931,                0.04072,                 1.4949,                  1.166,                 0.6675,                0.56755,                0.60885,                0.20875,                 0.7924,                0.64511,                 0.7443,                0.74239,                 2.1899,                0.03533,                0.00063,                 1.4932,                 1.2395,              0.0003566,              0.0003566,              0.0003566
                     86,                 2.1434,                0.04125,                0.03953,                 1.4787,                 1.1823,                0.65287,                 0.5609,                0.60459,                0.20518,                0.76364,                0.64662,                0.73762,                0.73526,                 2.1741,                0.03617,                0.00091,                 1.4768,                  1.236,              0.0003368,              0.0003368,              0.0003368
                     87,                 2.1169,                0.03733,                0.04459,                 1.4866,                 1.1789,                0.71237,                0.59699,                0.64425,                0.23385,                0.79185,                 0.6636,                0.75353,                0.75179,                 2.1419,                0.03501,                 0.0011,                 1.4391,                 1.2278,               0.000317,               0.000317,               0.000317
                     88,                 2.1366,                0.03854,                0.04015,                 1.5079,                 1.1696,                0.69224,                0.60602,                 0.6538,                0.24109,                0.76611,                0.66917,                0.75843,                 0.7569,                 2.1357,                0.03553,                0.00091,                 1.4607,                 1.2262,              0.0002972,              0.0002972,              0.0002972
                     89,                 2.0929,                0.03529,                 0.0389,                 1.4429,                 1.1654,                0.69278,                0.59342,                0.63339,                0.22471,                0.79999,                 0.6616,                 0.7596,                0.75777,                 2.1641,                0.03456,                0.00075,                 1.4739,                 1.2321,              0.0002774,              0.0002774,              0.0002774
                     90,                 2.0967,                0.03787,                0.04239,                 1.4685,                 1.1684,                0.70213,                0.58132,                0.63033,                0.22227,                0.77602,                0.65414,                 0.7475,                0.74548,                 2.1545,                0.03583,                0.00107,                   1.48,                 1.2297,              0.0002576,              0.0002576,              0.0002576
                     91,                 2.0773,                0.03363,                0.02637,                 1.4575,                 1.1982,                0.72302,                0.58797,                0.64606,                0.23744,                0.77206,                0.66165,                0.74159,                0.74015,                 2.1105,                0.03398,                0.00092,                 1.4204,                 1.2196,              0.0002378,              0.0002378,              0.0002378
                     92,                 2.0584,                0.03404,                0.02826,                 1.4248,                 1.1996,                 0.6968,                0.63308,                0.66712,                0.24388,                0.75969,                0.69023,                0.75634,                0.75444,                 2.1503,                0.03525,                0.00117,                 1.4521,                 1.2315,               0.000218,               0.000218,               0.000218
                     93,                 2.0664,                0.03269,                0.02011,                 1.4312,                 1.2051,                0.73354,                0.61504,                0.66407,                0.24911,                0.79616,                0.66957,                0.75556,                0.75409,                 2.1418,                0.03605,                0.00089,                 1.4126,                 1.2232,              0.0001982,              0.0001982,              0.0001982
                     94,                 2.0609,                0.03366,                0.03098,                 1.4185,                 1.1865,                 0.7463,                0.60159,                0.65964,                0.25165,                0.79164,                0.64511,                0.74028,                0.73831,                 2.1083,                0.03579,                0.00083,                 1.4187,                 1.2101,              0.0001784,              0.0001784,              0.0001784
